customer_id,gender,age,region,signup_date
1,Male,64,Eldoret,19/03/2022
2,Female,64,Nakuru,18/06/2023
3,Male,21,Mombasa,18/04/2022
4,Male,24,Eldoret,03/02/2024
5,Male,62,Nakuru,15/01/2022
6,Female,52,Nairobi,05/01/2023
7,Male,26,Mombasa,24/07/2022
8,Male,25,Nakuru,14/05/2024
9,Male,62,Nakuru,17/03/2023
10,Female,34,Kisumu,08/05/2024
11,Male,34,Eldoret,15/08/2022
12,Male,50,Kisumu,12/06/2023
13,Male,49,Mombasa,20/12/2022
14,Male,25,Nakuru,15/09/2023
15,Female,36,Kisumu,21/10/2024
16,Male,55,Eldoret,15/07/2024
17,Female,20,Mombasa,10/06/2022
18,Female,22,Nairobi,20/05/2024
19,Female,30,Kisumu,20/03/2023
20,Male,64,Mombasa,08/04/2023
21,Female,63,Nairobi,19/11/2024
22,Male,48,Kisumu,18/04/2023
23,Female,33,Mombasa,11/07/2023
24,Female,49,Mombasa,21/03/2022
25,Female,39,Kisumu,28/11/2024
26,Female,46,Mombasa,28/08/2022
27,Female,39,Nakuru,11/07/2023
28,Female,60,Kisumu,13/08/2023
29,Female,20,Mombasa,26/09/2022
30,Female,27,Nairobi,01/12/2022
31,Male,59,Nairobi,08/11/2022
32,Male,38,Nakuru,12/12/2024
33,Female,33,Kisumu,27/12/2024
34,Female,29,Mombasa,25/11/2023
35,Female,19,Mombasa,03/02/2022
36,Male,58,Nairobi,21/01/2023
37,Female,41,Nakuru,06/09/2022
38,Male,52,Nairobi,06/12/2024
39,Male,47,Nairobi,04/03/2024
40,Male,47,Nakuru,01/05/2024
41,Male,64,Kisumu,23/05/2024
42,Male,52,Mombasa,11/01/2023
43,Female,36,Kisumu,25/12/2023
44,Female,25,Eldoret,21/07/2022
45,Female,43,Eldoret,21/03/2023
46,Female,57,Eldoret,24/10/2022
47,Female,24,Nakuru,08/05/2023
48,Male,47,Nairobi,04/12/2022
49,Female,24,Kisumu,11/07/2024
50,Female,20,Mombasa,25/12/2024
51,Male,18,Eldoret,02/03/2024
52,Female,53,Kisumu,19/08/2024
53,Male,42,Eldoret,13/11/2022
54,Female,54,Eldoret,30/07/2024
55,Male,18,Mombasa,18/09/2023
56,Female,32,Nakuru,16/03/2022
57,Female,54,Nairobi,27/07/2024
58,Male,30,Nakuru,28/02/2022
59,Male,57,Kisumu,21/01/2023
60,Male,25,Nakuru,15/01/2022
61,Male,22,Kisumu,18/07/2022
62,Male,26,Kisumu,04/02/2022
63,Male,18,Nairobi,11/06/2022
64,Male,53,Mombasa,08/09/2024
65,Male,52,Nairobi,09/03/2024
66,Female,19,Nakuru,13/06/2024
67,Female,57,Kisumu,16/04/2023
68,Male,40,Eldoret,15/06/2023
69,Female,26,Eldoret,02/03/2024
70,Female,51,Kisumu,01/05/2024
71,Female,63,Nairobi,14/12/2022
