order_id,customer_id,product_id,quantity,order_date
1,2706,90,4,29/09/2023
2,2484,18,4,11/09/2024
3,4801,117,4,16/04/2023
4,4830,71,2,18/03/2024
5,3780,66,2,31/12/2023
6,4896,53,1,12/03/2024
7,2795,147,1,04/04/2024
8,1861,192,2,05/01/2024
9,3337,142,4,22/01/2023
10,1891,25,1,09/09/2024
11,4827,33,2,21/03/2024
12,4292,176,2,30/12/2023
13,1098,39,3,13/03/2024
14,1639,122,2,03/01/2023
15,1659,112,1,04/01/2024
16,1126,108,4,23/11/2023
17,264,133,4,13/10/2024
18,2993,113,1,02/01/2024
19,161,149,4,22/07/2023
20,1257,59,1,30/07/2024
21,4866,120,4,10/03/2023
22,311,77,2,11/07/2023
23,227,14,3,24/10/2024
24,273,191,3,08/05/2024
25,4413,54,2,29/06/2023
26,1923,173,3,17/08/2024
27,3158,178,2,16/05/2023
28,2339,169,2,18/03/2023
29,1602,92,1,16/11/2024
30,3719,127,4,14/10/2024
31,2423,129,1,24/01/2023
32,1926,130,3,02/03/2024
33,567,72,2,12/03/2024
34,2916,141,2,22/07/2023
35,252,147,3,06/04/2023
36,2355,51,4,03/01/2023
37,3502,126,2,29/10/2024
38,4771,2,4,04/07/2024
39,2312,10,2,07/05/2024
40,2116,197,2,19/12/2024
41,1603,118,1,07/10/2024
42,3271,30,4,27/08/2023
43,514,65,2,31/10/2024
44,442,109,3,06/07/2023
45,1,44,2,11/02/2023
46,903,42,4,30/11/2024
47,1221,3,2,29/04/2023
48,2322,111,4,26/03/2023
49,856,158,3,15/03/2024
50,1018,165,1,19/09/2024
51,2221,28,3,26/10/2023
52,4681,51,3,23/04/2024
53,3505,115,2,02/02/2024
54,4551,125,4,04/11/2024
55,196,13,3,27/10/2024
56,4695,40,1,26/10/2023
57,1333,154,3,29/01/2024
58,4652,104,2,23/12/2023
59,1518,158,2,25/02/2024
60,4535,152,3,21/12/2024
61,2698,38,1,28/05/2023
62,4455,105,3,21/09/2024
63,3108,110,2,16/04/2023
64,1058,197,4,27/07/2023
65,2706,16,3,30/08/2023
66,2064,110,4,03/10/2024
67,2793,55,4,04/11/2024
68,421,177,1,09/02/2023
69,4649,127,1,15/10/2024
70,2815,80,3,14/10/2024
71,2841,52,4,28/12/2024
72,1032,49,3,03/06/2024
73,1492,192,1,16/08/2024
74,4976,48,4,10/08/2023
75,1886,74,4,28/07/2024
76,4948,82,3,01/03/2023
77,510,38,2,17/06/2023
78,1860,17,2,30/01/2023
79,1859,41,4,26/03/2023
80,914,54,4,31/10/2023
81,2066,40,3,25/11/2024
82,2967,31,2,04/02/2024
83,4890,90,4,09/05/2023
84,3838,154,4,18/10/2024
85,1597,76,4,28/09/2024
86,4443,146,2,16/12/2023
87,1056,35,4,14/12/2024
88,1024,123,2,21/09/2024
89,3205,120,3,23/12/2024
90,576,56,2,20/10/2024
91,199,117,2,18/03/2024
92,1366,30,1,08/02/2024
93,1999,173,4,11/01/2023
94,1017,75,2,24/04/2024
95,3619,52,2,31/08/2023
96,26,196,3,10/02/2024
97,1559,55,2,11/03/2024
98,3725,138,3,17/11/2024
99,3459,182,1,03/09/2023
100,3357,34,2,12/05/2024
101,2368,191,1,16/07/2024
102,471,159,4,12/10/2023
103,2468,192,1,19/10/2023
104,4747,178,2,21/11/2023
105,886,156,1,08/10/2023
106,876,107,2,18/05/2024
107,942,37,1,09/03/2023
108,3042,160,3,16/08/2023
109,572,35,4,25/09/2024
110,4150,185,3,29/12/2024
111,605,189,3,21/05/2023
112,4421,85,4,19/11/2023
113,3530,32,3,22/08/2024
114,4981,8,1,05/07/2024
115,4361,163,1,15/08/2023
116,382,23,1,06/08/2024
117,1237,93,1,14/12/2024
118,2381,166,1,16/06/2023
119,3780,19,2,16/09/2024
120,2106,182,3,26/11/2023
121,1518,45,3,24/12/2023
122,1534,36,2,14/09/2023
123,3295,177,3,25/05/2024
124,3441,188,4,16/04/2024
125,3490,56,3,25/03/2023
126,3946,64,3,01/03/2024
127,4643,62,2,08/08/2023
128,871,59,1,01/02/2024
129,2151,1,1,30/01/2024
130,3233,97,1,26/01/2024
131,3232,77,4,05/07/2023
132,3767,5,1,20/03/2023
133,4961,147,3,08/10/2023
134,3208,58,2,29/01/2024
135,4494,57,4,20/08/2024
136,4488,170,1,28/11/2023
137,3827,73,2,09/05/2023
138,1613,134,4,24/09/2024
139,1078,85,3,27/07/2024
140,1301,22,1,31/12/2023
141,2159,53,3,25/07/2024
142,2272,57,4,06/10/2024
143,2530,126,3,01/08/2024
