order_id,payment_method,payment_status
1,M-Pesa,Refunded
2,Cash on Delivery,Completed
3,Cash on Delivery,Completed
4,M-Pesa,Completed
5,Cash on Delivery,Completed
6,M-Pesa,Completed
7,Cash on Delivery,Completed
8,Cash on Delivery,Completed
9,Card,Completed
10,Cash on Delivery,Completed
11,M-Pesa,Completed
12,Card,Completed
13,Card,Failed
14,Card,Completed
15,Cash on Delivery,Completed
16,M-Pesa,Completed
17,Cash on Delivery,Completed
18,Cash on Delivery,Completed
19,Card,Completed
20,Cash on Delivery,Completed
21,M-Pesa,Completed
22,Card,Completed
23,Cash on Delivery,Completed
24,Cash on Delivery,Completed
25,Card,Completed
26,Card,Completed
27,Cash on Delivery,Completed
28,Cash on Delivery,Refunded
29,M-Pesa,Completed
30,M-Pesa,Completed
31,M-Pesa,Failed
32,Card,Completed
33,Card,Completed
34,Card,Refunded
35,Card,Refunded
36,Card,Completed
37,Card,Failed
38,Card,Completed
39,Cash on Delivery,Completed
40,Card,Completed
41,Cash on Delivery,Completed
42,Card,Failed
43,Card,Completed
44,Card,Completed
45,Card,Completed
46,M-Pesa,Completed
47,Card,Completed
48,Cash on Delivery,Completed
49,Cash on Delivery,Completed
50,Cash on Delivery,Refunded
51,Card,Completed
52,M-Pesa,Completed
53,M-Pesa,Completed
54,Cash on Delivery,Completed
55,Card,Completed
56,Card,Completed
57,Card,Completed
58,M-Pesa,Completed
59,Card,Completed
60,Card,Completed
61,Card,Completed
62,Card,Completed
63,M-Pesa,Completed
64,Card,Completed
65,M-Pesa,Completed
66,Cash on Delivery,Completed
67,Cash on Delivery,Completed
68,M-Pesa,Completed
69,M-Pesa,Completed
70,Card,Completed
71,Card,Completed
72,Card,Completed
73,M-Pesa,Completed
74,M-Pesa,Completed
75,Cash on Delivery,Completed
76,M-Pesa,Failed
77,Card,Completed
78,M-Pesa,Completed
79,M-Pesa,Completed
80,M-Pesa,Completed
81,Card,Completed
82,Cash on Delivery,Completed
83,Cash on Delivery,Completed
84,Card,Completed
85,Cash on Delivery,Completed
86,Card,Completed
87,Card,Completed
88,Card,Completed
89,M-Pesa,Completed
90,Cash on Delivery,Completed
91,Card,Completed
92,Cash on Delivery,Completed
93,M-Pesa,Completed
94,Cash on Delivery,Completed
95,Cash on Delivery,Completed
96,Card,Completed
97,Card,Completed
98,M-Pesa,Completed
99,M-Pesa,Completed
100,M-Pesa,Refunded
101,Card,Completed
102,Cash on Delivery,Completed
103,Card,Completed
104,Card,Refunded
105,Card,Completed
106,M-Pesa,Completed
107,M-Pesa,Completed
108,M-Pesa,Completed
109,Card,Completed
110,Cash on Delivery,Failed
111,Card,Completed
112,Card,Failed
113,Cash on Delivery,Completed
114,M-Pesa,Completed
115,Card,Completed
116,Card,Completed
117,M-Pesa,Failed
118,Card,Completed
119,Card,Completed
120,Cash on Delivery,Completed
121,Cash on Delivery,Completed
122,Card,Completed
123,M-Pesa,Completed
124,M-Pesa,Completed
125,M-Pesa,Completed
126,Cash on Delivery,Completed
127,Card,Completed
128,M-Pesa,Completed
129,Card,Completed
130,Cash on Delivery,Failed
131,M-Pesa,Completed
132,Card,Completed
133,Cash on Delivery,Refunded
134,Card,Completed
135,Cash on Delivery,Completed
136,Card,Completed
137,Card,Completed
138,Cash on Delivery,Failed
139,Card,Failed
140,Card,Completed
141,Cash on Delivery,Refunded
142,M-Pesa,Completed
143,Cash on Delivery,Completed
144,M-Pesa,Refunded
145,Cash on Delivery,Completed
146,Cash on Delivery,Completed
147,Cash on Delivery,Completed
148,M-Pesa,Completed
149,M-Pesa,Failed
150,Cash on Delivery,Completed
151,Cash on Delivery,Completed
152,Cash on Delivery,Completed
153,M-Pesa,Completed
154,M-Pesa,Completed
155,M-Pesa,Completed
156,Card,Completed
157,M-Pesa,Completed
158,M-Pesa,Completed
159,Cash on Delivery,Completed
160,Card,Completed
161,Card,Completed
162,Cash on Delivery,Completed
163,Card,Failed
164,M-Pesa,Completed
165,Card,Failed
166,Cash on Delivery,Completed
167,Card,Completed
168,Card,Completed
169,Card,Completed
170,Card,Completed
171,Card,Completed
172,M-Pesa,Completed
173,Cash on Delivery,Completed
